File 	 Total number of insects 	 Average area 	 Smaller than 4mm 	 Between 4 and 10mm 	 Larger than 10mm 
IMG_1247.JPG 	 178 	 8 	 130 	 45 	 3
IMG_1248.JPG 	 184 	 8 	 131 	 51 	 2
IMG_1250.JPG 	 142 	 6 	 119 	 20 	 3
IMG_1251.JPG 	 168 	 5 	 143 	 21 	 4
IMG_1252.JPG 	 224 	 6 	 188 	 32 	 4
IMG_1253.JPG 	 129 	 5 	 102 	 27 	 0
IMG_1254.JPG 	 156 	 5 	 131 	 24 	 1
IMG_1255.JPG 	 182 	 5 	 157 	 25 	 0
IMG_1256.JPG 	 173 	 5 	 149 	 24 	 0
IMG_1257.JPG 	 170 	 3 	 146 	 24 	 0
IMG_1258.JPG 	 199 	 5 	 166 	 33 	 0
IMG_1259.JPG 	 173 	 6 	 146 	 21 	 6
IMG_1260.JPG 	 177 	 5 	 147 	 26 	 4
IMG_1261.JPG 	 317 	 6 	 257 	 57 	 3
IMG_1262.JPG 	 131 	 5 	 104 	 26 	 1
IMG_1263.JPG 	 240 	 4 	 211 	 26 	 3
IMG_1264.JPG 	 195 	 6 	 162 	 25 	 8
IMG_1265.JPG 	 172 	 5 	 141 	 26 	 5
IMG_1266.JPG 	 160 	 6 	 128 	 30 	 2
IMG_1267.JPG 	 186 	 5 	 164 	 22 	 0
IMG_1268.JPG 	 250 	 5 	 213 	 34 	 3
IMG_1269.JPG 	 145 	 5 	 112 	 31 	 2
IMG_1270.JPG 	 352 	 6 	 290 	 56 	 6
IMG_1271.JPG 	 448 	 6 	 368 	 78 	 2
IMG_1272.JPG 	 368 	 7 	 297 	 61 	 10
IMG_1273.JPG 	 265 	 7 	 220 	 41 	 4
IMG_1274.JPG 	 326 	 6 	 276 	 42 	 8
IMG_1275.JPG 	 395 	 5 	 341 	 47 	 7
IMG_1276.JPG 	 407 	 6 	 337 	 67 	 3
IMG_1277.JPG 	 289 	 5 	 237 	 48 	 4
IMG_1278.JPG 	 385 	 5 	 319 	 58 	 8
IMG_1279.JPG 	 371 	 6 	 308 	 54 	 9
IMG_1280.JPG 	 319 	 4 	 258 	 59 	 2
IMG_1282.JPG 	 270 	 5 	 210 	 56 	 4
IMG_1283.JPG 	 292 	 6 	 227 	 59 	 6
IMG_1284.JPG 	 211 	 6 	 170 	 38 	 3
IMG_1285.JPG 	 351 	 6 	 281 	 66 	 4
IMG_1286.JPG 	 339 	 6 	 274 	 57 	 8
IMG_1287.JPG 	 238 	 7 	 183 	 51 	 4
IMG_1288.JPG 	 188 	 6 	 149 	 36 	 3
IMG_1289.JPG 	 195 	 5 	 158 	 35 	 2
IMG_1298.JPG 	 129 	 12 	 88 	 35 	 6
IMG_1299.JPG 	 175 	 10 	 128 	 38 	 9
IMG_1301.JPG 	 198 	 9 	 150 	 41 	 7
IMG_1302.JPG 	 176 	 11 	 131 	 37 	 8
IMG_1303.JPG 	 164 	 10 	 118 	 41 	 5
IMG_1304.JPG 	 168 	 10 	 125 	 40 	 3
IMG_1305.JPG 	 144 	 9 	 109 	 28 	 7
IMG_1306.JPG 	 195 	 12 	 139 	 48 	 8
IMG_1307.JPG 	 203 	 10 	 146 	 48 	 9
IMG_1308.JPG 	 201 	 10 	 151 	 41 	 9
IMG_1309.JPG 	 210 	 8 	 165 	 39 	 6
IMG_1310.JPG 	 331 	 8 	 266 	 55 	 10
IMG_1311.JPG 	 130 	 10 	 95 	 30 	 5
IMG_1312.JPG 	 255 	 7 	 213 	 41 	 1
IMG_1313.JPG 	 263 	 7 	 217 	 41 	 5
IMG_1314.JPG 	 159 	 8 	 122 	 36 	 1
IMG_1316.JPG 	 294 	 8 	 236 	 54 	 4
IMG_1317.JPG 	 308 	 8 	 252 	 49 	 7
IMG_1318.JPG 	 192 	 8 	 157 	 29 	 6
IMG_1319.JPG 	 293 	 8 	 244 	 45 	 4
IMG_1320.JPG 	 334 	 9 	 262 	 66 	 6
IMG_1321.JPG 	 247 	 7 	 201 	 42 	 4
IMG_1322.JPG 	 231 	 7 	 190 	 37 	 4
IMG_1323.JPG 	 274 	 5 	 245 	 28 	 1
IMG_1324.JPG 	 266 	 7 	 214 	 48 	 4
IMG_1325.JPG 	 242 	 8 	 195 	 42 	 5
IMG_1326.JPG 	 257 	 7 	 205 	 49 	 3
IMG_1327.JPG 	 370 	 5 	 295 	 68 	 7
IMG_1328.JPG 	 428 	 6 	 366 	 58 	 4
IMG_1329.JPG 	 282 	 7 	 231 	 48 	 3
IMG_1330.JPG 	 299 	 9 	 211 	 84 	 4
IMG_1331.JPG 	 276 	 10 	 204 	 65 	 7
IMG_1332.JPG 	 262 	 10 	 187 	 68 	 7
IMG_1333.JPG 	 323 	 10 	 250 	 67 	 6
IMG_1334.JPG 	 316 	 9 	 246 	 63 	 7
IMG_1335.JPG 	 223 	 8 	 178 	 38 	 7
IMG_1336.JPG 	 344 	 8 	 270 	 67 	 7
IMG_1337.JPG 	 388 	 9 	 297 	 82 	 9
IMG_1338.JPG 	 324 	 10 	 243 	 74 	 7
IMG_1339.JPG 	 235 	 6 	 188 	 47 	 0
IMG_1341.JPG 	 284 	 8 	 224 	 54 	 6
IMG_1342.JPG 	 236 	 8 	 189 	 44 	 3
IMG_1343.JPG 	 174 	 10 	 131 	 40 	 3
IMG_1344.JPG 	 291 	 7 	 234 	 52 	 5
IMG_1345.JPG 	 282 	 8 	 226 	 48 	 8
IMG_1346.JPG 	 311 	 9 	 239 	 64 	 8
IMG_1347.JPG 	 360 	 8 	 277 	 78 	 5
IMG_1348.JPG 	 280 	 8 	 203 	 76 	 1
IMG_1349.JPG 	 279 	 8 	 207 	 69 	 3
IMG_1350.JPG 	 209 	 9 	 153 	 52 	 4
IMG_1351.JPG 	 169 	 12 	 113 	 44 	 12
IMG_1352.JPG 	 194 	 10 	 139 	 45 	 10
IMG_1353.JPG 	 309 	 11 	 251 	 50 	 8
IMG_1354.JPG 	 250 	 10 	 194 	 49 	 7
IMG_1355.JPG 	 240 	 10 	 190 	 44 	 6
IMG_1356.JPG 	 208 	 13 	 154 	 46 	 8
IMG_1357.JPG 	 193 	 12 	 146 	 38 	 9
IMG_1358.JPG 	 176 	 13 	 129 	 34 	 13
IMG_1359.JPG 	 221 	 11 	 163 	 46 	 12
IMG_1360.JPG 	 215 	 13 	 163 	 40 	 12
IMG_1361.JPG 	 264 	 12 	 202 	 52 	 10
IMG_1362.JPG 	 257 	 13 	 186 	 63 	 8
IMG_1363.JPG 	 167 	 12 	 122 	 36 	 9
IMG_1364.JPG 	 165 	 12 	 121 	 34 	 10
IMG_1365.JPG 	 195 	 12 	 141 	 45 	 9
IMG_1366.JPG 	 180 	 14 	 130 	 42 	 8
IMG_1367.JPG 	 266 	 9 	 216 	 45 	 5
IMG_1368.JPG 	 257 	 7 	 205 	 47 	 5
IMG_1369.JPG 	 188 	 7 	 153 	 34 	 1
IMG_1370.JPG 	 232 	 9 	 196 	 25 	 11
IMG_1371.JPG 	 207 	 8 	 161 	 43 	 3
IMG_1372.JPG 	 205 	 9 	 158 	 37 	 10
IMG_1373.JPG 	 170 	 13 	 137 	 25 	 8
IMG_1375.JPG 	 216 	 8 	 172 	 39 	 5
IMG_1376.JPG 	 166 	 9 	 133 	 26 	 7
IMG_1377.JPG 	 192 	 11 	 155 	 29 	 8
IMG_1378.JPG 	 198 	 9 	 159 	 38 	 1
IMG_1379.JPG 	 195 	 9 	 157 	 35 	 3
IMG_1380.JPG 	 279 	 8 	 235 	 38 	 6
IMG_1381.JPG 	 164 	 9 	 127 	 34 	 3
IMG_1382.JPG 	 177 	 8 	 148 	 28 	 1
IMG_1383.JPG 	 276 	 8 	 233 	 38 	 5
IMG_1384.JPG 	 329 	 7 	 288 	 37 	 4
IMG_1385.JPG 	 320 	 8 	 270 	 42 	 8
IMG_1386.JPG 	 344 	 8 	 292 	 44 	 8
IMG_1387.JPG 	 226 	 8 	 193 	 31 	 2
IMG_1388.JPG 	 85 	 9 	 63 	 21 	 1
IMG_1389.JPG 	 123 	 9 	 93 	 27 	 3
IMG_1390.JPG 	 126 	 8 	 95 	 28 	 3
IMG_1391.JPG 	 116 	 9 	 84 	 29 	 3
IMG_1392.JPG 	 106 	 9 	 81 	 22 	 3
IMG_1393.JPG 	 167 	 8 	 126 	 35 	 6
IMG_1394.JPG 	 97 	 9 	 81 	 15 	 1
IMG_1395.JPG 	 151 	 9 	 119 	 29 	 3
IMG_1396.JPG 	 135 	 8 	 114 	 14 	 7
IMG_1397.JPG 	 87 	 8 	 73 	 13 	 1
IMG_1398.JPG 	 278 	 10 	 215 	 54 	 9
IMG_1399.JPG 	 285 	 12 	 215 	 54 	 16
IMG_1400.JPG 	 283 	 11 	 219 	 51 	 13
IMG_1401.JPG 	 276 	 11 	 221 	 47 	 8
IMG_1402.JPG 	 307 	 12 	 242 	 53 	 12
IMG_1403.JPG 	 92 	 8 	 69 	 19 	 4
IMG_1404.JPG 	 94 	 8 	 74 	 17 	 3
IMG_1406.JPG 	 87 	 8 	 71 	 14 	 2
IMG_1408.JPG 	 76 	 9 	 63 	 10 	 3
IMG_1409.JPG 	 80 	 9 	 58 	 18 	 4
IMG_1410.JPG 	 275 	 6 	 215 	 58 	 2
IMG_1411.JPG 	 309 	 6 	 247 	 57 	 5
IMG_1412.JPG 	 262 	 7 	 211 	 47 	 4
IMG_1413.JPG 	 177 	 6 	 140 	 34 	 3
IMG_1414.JPG 	 191 	 7 	 154 	 35 	 2
IMG_1415.JPG 	 225 	 7 	 181 	 42 	 2
IMG_1416.JPG 	 178 	 7 	 140 	 35 	 3
IMG_1417.JPG 	 223 	 6 	 186 	 36 	 1
IMG_1418.JPG 	 234 	 7 	 177 	 55 	 2
IMG_1419.JPG 	 303 	 5 	 259 	 41 	 3
IMG_1420.JPG 	 237 	 7 	 177 	 59 	 1
IMG_1421.JPG 	 217 	 4 	 196 	 20 	 1
IMG_1422.JPG 	 217 	 4 	 184 	 32 	 1
IMG_1423.JPG 	 313 	 3 	 283 	 28 	 2
IMG_1424.JPG 	 262 	 4 	 231 	 29 	 2
IMG_1425.JPG 	 230 	 3 	 206 	 22 	 2
IMG_1426.JPG 	 324 	 2 	 297 	 25 	 2
IMG_1427.JPG 	 185 	 3 	 159 	 25 	 1
IMG_1428.JPG 	 263 	 3 	 242 	 21 	 0
IMG_1429.JPG 	 561 	 5 	 498 	 60 	 3
IMG_1430.JPG 	 222 	 3 	 201 	 20 	 1
IMG_1431.JPG 	 168 	 5 	 137 	 30 	 1
IMG_1432.JPG 	 168 	 8 	 127 	 40 	 1
IMG_1433.JPG 	 192 	 6 	 148 	 36 	 8
IMG_1434.JPG 	 176 	 5 	 134 	 42 	 0
IMG_1435.JPG 	 173 	 7 	 121 	 51 	 1
IMG_1436.JPG 	 120 	 6 	 86 	 34 	 0
IMG_1437.JPG 	 148 	 7 	 102 	 44 	 2
IMG_1438.JPG 	 136 	 5 	 103 	 33 	 0
IMG_1439.JPG 	 112 	 7 	 88 	 23 	 1
IMG_1440.JPG 	 161 	 4 	 130 	 30 	 1
IMG_1441.JPG 	 186 	 3 	 160 	 26 	 0
IMG_1442.JPG 	 175 	 5 	 136 	 39 	 0
IMG_1443.JPG 	 170 	 3 	 139 	 31 	 0
IMG_1444.JPG 	 165 	 5 	 113 	 52 	 0
IMG_1445.JPG 	 146 	 4 	 112 	 34 	 0
IMG_1446.JPG 	 148 	 5 	 130 	 18 	 0
IMG_1447.JPG 	 133 	 7 	 102 	 28 	 3
IMG_1448.JPG 	 118 	 8 	 77 	 40 	 1
IMG_1449.JPG 	 106 	 10 	 83 	 22 	 1
IMG_1450.JPG 	 123 	 6 	 79 	 43 	 1
IMG_1451.JPG 	 162 	 6 	 108 	 52 	 2
IMG_1452.JPG 	 172 	 5 	 139 	 32 	 1
IMG_1453.JPG 	 221 	 3 	 192 	 29 	 0
IMG_1454.JPG 	 194 	 5 	 139 	 54 	 1
IMG_1455.JPG 	 235 	 3 	 206 	 29 	 0
IMG_1456.JPG 	 173 	 5 	 134 	 37 	 2
IMG_1457.JPG 	 139 	 4 	 121 	 15 	 3
IMG_1458.JPG 	 105 	 3 	 91 	 13 	 1
IMG_1459.JPG 	 172 	 4 	 135 	 36 	 1
IMG_1460.JPG 	 160 	 10 	 123 	 36 	 1
IMG_1461.JPG 	 206 	 7 	 101 	 104 	 1
IMG_1462.JPG 	 98 	 5 	 73 	 24 	 1
IMG_1463.JPG 	 104 	 4 	 83 	 21 	 0
IMG_1464.JPG 	 140 	 5 	 112 	 27 	 1
IMG_1465.JPG 	 134 	 6 	 104 	 28 	 2
IMG_1466.JPG 	 387 	 7 	 318 	 60 	 9
IMG_1467.JPG 	 245 	 8 	 193 	 46 	 6
IMG_1468.JPG 	 405 	 7 	 336 	 65 	 4
IMG_1469.JPG 	 425 	 7 	 338 	 74 	 13
IMG_1470.JPG 	 438 	 6 	 356 	 76 	 6
IMG_1471.JPG 	 554 	 7 	 473 	 71 	 10
IMG_1472.JPG 	 484 	 6 	 420 	 59 	 5
IMG_1473.JPG 	 408 	 6 	 366 	 40 	 2
IMG_1474.JPG 	 438 	 6 	 381 	 54 	 3
IMG_1475.JPG 	 461 	 4 	 413 	 45 	 3
IMG_1476.JPG 	 392 	 6 	 317 	 69 	 6
IMG_1477.JPG 	 380 	 7 	 307 	 67 	 6
IMG_1478.JPG 	 357 	 8 	 294 	 50 	 13
IMG_1479.JPG 	 417 	 5 	 352 	 60 	 5
IMG_1480.JPG 	 426 	 6 	 344 	 79 	 3
IMG_1481.JPG 	 306 	 7 	 258 	 41 	 7
IMG_1482.JPG 	 280 	 7 	 226 	 49 	 5
IMG_1483.JPG 	 217 	 7 	 183 	 31 	 3
IMG_1484.JPG 	 508 	 7 	 411 	 92 	 5
IMG_1485.JPG 	 558 	 7 	 451 	 92 	 15
IMG_1486.JPG 	 614 	 6 	 503 	 98 	 13
IMG_1487.JPG 	 516 	 5 	 414 	 100 	 2
IMG_1488.JPG 	 555 	 5 	 457 	 87 	 11
IMG_1489.JPG 	 466 	 5 	 378 	 78 	 10
IMG_1490.JPG 	 492 	 4 	 431 	 57 	 4
IMG_1491.JPG 	 438 	 5 	 355 	 76 	 7
IMG_1492.JPG 	 568 	 5 	 469 	 93 	 6
IMG_1493.JPG 	 459 	 7 	 365 	 88 	 6
IMG_1494.JPG 	 625 	 7 	 495 	 119 	 11
IMG_1495.JPG 	 614 	 6 	 499 	 110 	 5
IMG_1496.JPG 	 335 	 6 	 271 	 60 	 4
IMG_1497.JPG 	 396 	 6 	 339 	 51 	 6
IMG_1498.JPG 	 619 	 6 	 521 	 92 	 6
IMG_1499.JPG 	 482 	 6 	 396 	 75 	 11
IMG_1500.JPG 	 363 	 4 	 313 	 45 	 5
IMG_1501.JPG 	 446 	 4 	 387 	 55 	 4
IMG_1502.JPG 	 476 	 5 	 412 	 56 	 8
IMG_1503.JPG 	 476 	 4 	 427 	 44 	 5
IMG_1504.JPG 	 419 	 6 	 348 	 65 	 6
